Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HC,AC,HF,AF,Path,Season,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,HP9,HP10,HP11,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,HPG,HPD,HPF,HPM,APD,APG,APF,APM
21-Aug-00,Arsenal,Liverpool,2,0,H,1,0,H,38014,Graham Poll,17,7,12,4,10,11,25,20,.data/EPL/2000-01/3297.json,0,3,991,1831,1650,14,1651,1,1132,1297,1835,1659,915,1709,1595,1710,569,1335,1920,238,908,1711,1571,1,6,2,2,5,1,1,4
22-Aug-00,Bradford,Chelsea,2,0,H,1,0,H,17872,Mark Halsey,12,14,3,6,6,4,14,16,.data/EPL/2000-01/3298.json,0,125,1670,953,1672,328,108,954,1240,1664,228,1236,1350,1533,1151,1027,107,1445,1677,1413,1355,1149,1145,1,5,2,3,4,1,2,4
22-Aug-00,Ipswich,Man United,1,1,D,1,1,D,22007,Jeff Winter,13,15,8,6,4,6,10,7,.data/EPL/2000-01/3299.json,0,878,1890,1898,1896,757,1903,1991,1894,1899,960,1371,407,59,1217,321,336,921,922,1940,335,1580,331,1,5,2,3,3,1,2,5
22-Aug-00,Middlesbrough,Tottenham,1,1,D,0,1,A,31254,Peter Jones,12,11,6,4,5,5,9,18,.data/EPL/2000-01/3300.json,0,320,1075,1218,349,931,488,1952,1070,1949,1950,1587,1277,973,1978,1282,566,1628,557,776,78,587,583,1,3,3,4,4,1,2,4
23-Aug-00,Everton,Charlton,3,0,H,0,0,D,36300,Andy Hall,13,8,8,4,3,5,17,15,.data/EPL/2000-01/3301.json,0,416,1605,1886,720,1558,1884,339,1402,1433,1586,842,1848,1517,1529,111,1520,1168,1522,1851,1528,1850,397,1,4,2,4,4,1,2,4
23-Aug-00,Man City,Sunderland,4,2,H,2,0,H,34410,David Ellaray,15,9,10,4,7,3,24,14,.data/EPL/2000-01/3302.json,0,916,290,1179,732,767,1927,1682,714,1936,938,1935,1971,272,1253,1752,1255,1757,424,304,1758,1768,1967,1,4,2,4,5,1,2,3
23-Aug-00,Newcastle,Derby,3,2,H,1,1,D,51327,Dermot Gallagher,9,10,4,5,9,6,23,11,.data/EPL/2000-01/3303.json,0,590,851,89,239,1740,1960,1590,1436,1284,1230,1597,1877,1161,1873,1426,1393,1874,1392,1389,1700,1698,1177,1,4,2,4,4,1,2,4
23-Aug-00,Southampton,Coventry,1,2,A,0,1,A,14801,F Taylor,12,7,4,5,6,5,18,20,.data/EPL/2000-01/3304.json,0,1621,704,812,958,1249,1455,1747,1246,528,1458,903,1156,1691,1030,1370,1687,1033,497,154,860,1358,1869,1,4,2,4,5,1,2,3
23-Aug-00,West Ham,Leicester,0,1,A,0,0,D,25195,Rob Styles,17,4,12,2,11,5,16,14,.data/EPL/2000-01/3305.json,0,1451,1657,1111,1080,293,1634,395,11,1630,1164,1805,453,684,384,706,1014,734,1201,1199,519,670,1196,1,5,3,2,3,1,1,6
26-Aug-00,Arsenal,Charlton,5,3,H,1,2,A,38025,Steve Lodge,18,7,9,4,8,3,12,15,.data/EPL/2000-01/3306.json,0,3,13,14,1651,1,1132,1502,1297,1835,1659,1831,1848,1517,1529,111,1168,1520,1522,1851,1528,1850,397,1,6,2,2,4,1,2,4
26-Aug-00,Bradford,Leicester,0,0,D,0,0,D,16766,Steve Bennett,8,13,4,8,6,8,11,12,.data/EPL/2000-01/3307.json,0,954,125,1670,953,1664,328,108,1672,228,1240,1236,453,684,706,1199,1014,734,670,1201,384,519,1196,1,5,2,3,3,1,1,6
26-Aug-00,Everton,Derby,2,2,D,2,0,H,34840,Mike Riley,12,7,9,4,11,2,11,9,.data/EPL/2000-01/3308.json,0,181,416,1886,720,1558,1402,1884,1702,1605,1447,842,1877,1548,1161,1873,1551,1393,1392,1389,1700,1698,1426,1,4,2,4,4,1,2,4
26-Aug-00,Ipswich,Sunderland,1,0,H,0,0,D,21830,Graham Poll,14,9,5,3,7,6,10,12,.data/EPL/2000-01/3309.json,0,878,1890,1896,757,1903,1991,1894,1898,1899,960,1371,272,1253,1255,1752,1757,1754,424,304,1758,1768,1967,1,5,2,3,5,1,2,3
26-Aug-00,Man City,Coventry,1,2,A,0,2,A,34140,Andy D'Urso,14,9,5,8,5,5,7,12,.data/EPL/2000-01/3310.json,0,732,767,1927,1682,938,1936,1935,916,1179,714,290,1156,1869,1691,1030,1370,1033,497,154,1687,860,1358,1,5,2,3,5,1,2,3
26-Aug-00,Middlesbrough,Leeds,1,2,A,0,2,A,31626,Graham Barber,15,16,8,11,4,8,12,20,.data/EPL/2000-01/3311.json,0,320,931,1950,937,1218,349,488,326,1070,1949,1587,1270,1565,146,1706,669,1560,694,1412,1190,1045,1909,1,4,2,4,4,1,3,3
26-Aug-00,Newcastle,Tottenham,2,0,H,1,0,H,51573,David Ellaray,15,10,6,2,4,2,13,10,.data/EPL/2000-01/3312.json,0,590,851,89,239,1736,1740,1590,1960,1597,1230,1593,1282,1277,566,973,1628,557,776,78,1978,587,583,1,4,1,5,4,1,2,4
26-Aug-00,Southampton,Liverpool,3,3,D,0,1,A,15202,Jeff Winter,14,9,7,4,7,1,7,6,.data/EPL/2000-01/3313.json,0,1621,958,1623,704,1243,528,1748,1246,1749,1458,903,915,1709,1595,1208,1710,569,1335,1920,1575,1711,1571,1,4,2,4,5,1,1,4
26-Aug-00,West Ham,Man United,2,2,D,0,1,A,25998,Dermot Gallagher,17,8,8,5,7,5,12,9,.data/EPL/2000-01/3314.json,0,1451,1111,1080,293,1634,1657,395,1632,11,1630,1164,576,1719,407,725,1580,321,336,1940,335,921,331,1,5,2,3,4,1,2,4
27-Aug-00,Aston Villa,Chelsea,1,1,D,1,1,D,27056,Paul Durkin,12,11,9,7,7,10,13,12,.data/EPL/2000-01/3315.json,0,72,406,1308,338,1987,252,1361,1839,23,153,848,1533,1148,1145,1989,107,1862,1676,1356,1413,1355,1149,1,3,2,5,4,1,2,4
05-Sep-00,Leeds,Man City,1,2,A,0,2,A,40055,Graham Poll,6,8,1,3,9,4,18,24,.data/EPL/2000-01/3316.json,0,1270,146,669,1560,694,886,1411,1412,1190,1045,1909,1059,732,1928,767,1927,938,1935,916,1179,1936,714,1,4,3,3,5,1,1,4
05-Sep-00,Man United,Bradford,6,0,H,2,0,H,67447,Ian Harris,21,6,12,4,5,1,12,10,.data/EPL/2000-01/3317.json,0,576,1719,1718,725,321,1210,1429,922,1940,332,331,423,125,1670,953,1672,328,108,228,1668,1240,1236,1,3,2,5,4,1,2,4
05-Sep-00,Sunderland,West Ham,1,1,D,1,1,D,46605,Peter Jones,17,16,7,9,4,11,19,14,.data/EPL/2000-01/3318.json,0,272,1757,1754,1253,424,1255,304,1445,1768,1967,1972,1657,1451,1080,293,800,1634,741,395,1632,11,1164,1,5,2,3,3,1,2,5
05-Sep-00,Tottenham,Everton,3,2,H,1,2,A,35316,Barry Knight,11,11,7,6,7,5,11,10,.data/EPL/2000-01/3319.json,0,1282,973,566,1628,557,776,462,78,1978,587,583,181,416,1886,720,1558,1884,339,1402,1447,1586,842,1,4,2,4,3,1,2,5
06-Sep-00,Charlton,Southampton,1,1,D,0,0,D,20043,Mark Halsey,8,11,6,3,10,14,14,16,.data/EPL/2000-01/3320.json,0,1848,1517,1529,111,1520,1168,1522,1516,1851,1528,1850,958,1623,704,1243,1748,1747,1246,1749,1458,812,903,1,4,2,4,4,1,2,4
06-Sep-00,Chelsea,Arsenal,2,2,D,1,0,H,34923,Mike Riley,12,13,5,5,7,6,16,22,.data/EPL/2000-01/3321.json,0,1533,1148,1145,1989,107,1676,70,1355,1151,1413,1149,19,13,1831,1650,1835,14,1651,1,1502,1297,1659,1,5,2,3,6,1,2,2
06-Sep-00,Coventry,Newcastle,0,2,A,0,1,A,22109,Alan Wiley,13,13,3,6,6,8,11,18,.data/EPL/2000-01/3322.json,0,1691,1030,1370,1687,1033,497,154,860,1358,1156,1869,851,89,239,1736,1740,1351,1590,721,1230,1593,1960,1,5,2,3,4,1,2,4
06-Sep-00,Derby,Middlesbrough,3,3,D,0,1,A,24290,Rob Styles,9,5,5,4,11,5,8,10,.data/EPL/2000-01/3323.json,0,1545,1391,1178,1161,1873,1393,1392,1389,1877,1698,1700,1951,320,1218,349,488,326,1952,1070,1949,359,1222,1,3,3,4,4,1,3,3
06-Sep-00,Leicester,Ipswich,2,1,H,0,0,D,19598,Paul Taylor,12,7,6,3,6,2,12,13,.data/EPL/2000-01/3324.json,0,453,684,706,1014,734,670,1201,1569,384,519,1196,878,1890,1899,757,586,1991,1894,1898,960,1371,1903,1,3,1,6,5,1,2,3
06-Sep-00,Liverpool,Aston Villa,3,1,H,3,0,H,43360,Neale Barry,11,9,7,4,8,7,13,7,.data/EPL/2000-01/3325.json,0,915,1709,1595,1208,1710,1335,1920,1575,908,1711,1571,406,1308,1987,847,338,1839,35,252,1361,23,153,1,5,2,3,3,1,2,5
09-Sep-00,Bradford,Arsenal,1,1,D,1,0,H,17160,Alan Wiley,9,18,5,11,4,10,17,13,.data/EPL/2000-01/3326.json,0,954,125,1670,932,953,102,108,228,1240,1236,187,1494,1497,1650,19,13,14,1,1297,1835,1836,1659,1,5,2,3,5,1,2,3
09-Sep-00,Coventry,Leeds,0,0,D,0,0,D,20377,Paul Durkin,9,11,1,5,6,6,15,14,.data/EPL/2000-01/3327.json,0,1691,1030,1370,1687,497,154,860,1358,1869,1033,1688,1270,146,669,1560,694,886,1412,1190,1407,1045,1082,1,5,2,3,4,1,3,3
09-Sep-00,Ipswich,Aston Villa,1,2,A,0,1,A,22065,Andy D'Urso,15,5,5,2,5,3,9,13,.data/EPL/2000-01/3328.json,0,878,1890,1899,757,1896,1991,884,1894,1898,960,1371,72,406,1308,338,153,1987,252,848,1361,1839,23,1,5,2,3,3,1,2,5
09-Sep-00,Leicester,Southampton,1,0,H,0,0,D,18366,Mike Dean,17,9,6,5,10,6,6,9,.data/EPL/2000-01/3329.json,0,453,684,706,1199,1014,734,670,1201,384,519,1196,958,903,1623,704,1243,1748,1747,1246,1621,1749,1458,1,3,1,6,4,1,2,4
09-Sep-00,Liverpool,Man City,3,2,H,1,0,H,44692,Graham Barber,14,9,8,7,9,4,17,17,.data/EPL/2000-01/3330.json,0,915,1570,908,1709,1595,569,1575,1335,1920,1208,1571,1059,732,1928,767,1927,938,1936,27,916,1179,714,1,5,2,3,4,1,2,4
09-Sep-00,Man United,Sunderland,3,0,H,1,0,H,67503,Neale Barry,15,5,7,1,4,4,18,14,.data/EPL/2000-01/3331.json,0,576,1719,1210,1580,725,321,336,332,1940,335,331,272,1253,1445,1255,1972,1757,1754,424,304,1768,1967,1,4,2,4,5,1,2,3
09-Sep-00,Middlesbrough,Everton,1,2,A,1,0,H,30885,Steve Bennett,9,12,5,9,7,7,16,5,.data/EPL/2000-01/3332.json,0,1070,151,1218,349,1951,245,1952,1949,359,326,1222,416,1886,720,1558,1701,1586,339,1402,1884,1447,842,1,4,3,3,3,1,2,5
09-Sep-00,Newcastle,Chelsea,0,0,D,0,0,D,51687,Graham Poll,10,10,4,3,5,6,17,21,.data/EPL/2000-01/3333.json,0,590,851,1960,89,239,1736,1740,1351,1230,1597,87,1533,1148,1989,107,70,1676,1677,1413,1356,1147,1149,1,4,3,3,6,1,2,2
10-Sep-00,Derby,Charlton,2,2,D,2,0,H,22310,Peter Jones,12,10,6,6,4,11,17,12,.data/EPL/2000-01/3334.json,0,1545,1391,1877,1161,1873,1426,1178,1393,1392,1553,1698,1848,1850,1517,111,1520,1528,1851,1168,1522,1855,397,1,3,3,4,4,1,2,4
11-Sep-00,Tottenham,West Ham,1,0,H,0,0,D,33282,Steve Dunn,15,11,7,5,11,3,14,13,.data/EPL/2000-01/3335.json,0,1464,1277,973,880,462,1628,557,776,78,1978,583,741,395,1632,11,1451,1111,1805,1080,1634,293,800,1,4,3,3,3,1,2,5
16-Sep-00,Arsenal,Coventry,2,1,H,1,0,H,37794,Mike Dean,18,6,13,2,8,4,5,13,.data/EPL/2000-01/3336.json,0,3,1497,19,991,1650,14,1651,1,1297,1835,1836,1691,1030,1687,497,154,1370,860,1358,1869,1033,1688,1,5,2,3,5,1,2,3
16-Sep-00,Aston Villa,Bradford,2,0,H,1,0,H,27849,Rob Styles,12,8,7,4,5,6,8,12,.data/EPL/2000-01/3337.json,0,72,406,1308,338,1083,252,1361,1839,23,153,848,954,125,1670,932,1672,953,108,1668,228,1240,1236,1,3,1,6,4,1,3,3
16-Sep-00,Charlton,Tottenham,1,0,H,1,0,H,20043,Jeff Winter,9,10,5,5,7,5,8,10,.data/EPL/2000-01/3338.json,0,1848,1517,111,1520,1528,1168,1515,1855,1516,1851,1522,1277,462,880,973,1628,557,776,78,1978,583,1274,1,4,2,4,4,1,3,3
16-Sep-00,Everton,Man United,1,3,A,0,3,A,38541,Dermot Gallagher,6,17,4,9,6,5,10,11,.data/EPL/2000-01/3339.json,0,416,1886,720,1558,1884,339,1402,1184,842,1447,1586,1940,1211,335,576,1719,315,336,321,1217,332,331,1,3,2,5,4,1,2,4
16-Sep-00,Leeds,Ipswich,1,2,A,1,1,D,35552,Mark Halsey,11,12,6,7,6,3,12,19,.data/EPL/2000-01/3340.json,0,1560,1270,694,146,929,1412,669,1190,1082,1407,1045,878,884,1890,1894,1895,757,1898,1899,960,1371,1903,1,4,3,3,5,1,2,3
16-Sep-00,Southampton,Newcastle,2,0,H,0,0,D,15221,Barry Knight,13,10,9,7,4,8,14,14,.data/EPL/2000-01/3341.json,0,1621,958,1748,1455,1747,1246,1005,528,1749,1623,1458,851,1960,89,239,1736,1740,1351,1590,1597,1230,87,1,5,2,3,4,1,3,3
16-Sep-00,Sunderland,Derby,2,1,H,1,0,H,45343,Paul Taylor,15,10,8,5,4,5,16,28,.data/EPL/2000-01/3342.json,0,1757,1260,272,1253,1754,424,304,1751,1445,1768,1972,1877,1161,1873,1426,1389,1393,1058,1392,1553,1546,1698,1,4,2,4,4,1,2,4
17-Sep-00,Chelsea,Leicester,0,2,A,0,1,A,33697,Graham Barber,16,7,10,5,15,3,16,17,.data/EPL/2000-01/3343.json,0,1533,1151,1027,107,70,1676,1857,1356,1413,1149,1989,453,684,384,706,734,1199,519,639,1201,670,1196,1,4,3,3,3,1,1,6
17-Sep-00,Man City,Middlesbrough,1,1,D,0,0,D,32053,Steve Lodge,11,4,4,2,9,3,15,11,.data/EPL/2000-01/3344.json,0,1059,732,1928,1682,1927,938,767,916,1179,1936,714,363,1076,937,1220,309,349,931,488,326,1952,1222,1,4,2,4,4,1,3,3
17-Sep-00,West Ham,Liverpool,1,1,D,0,1,A,25998,David Ellaray,15,7,4,2,9,0,5,13,.data/EPL/2000-01/3345.json,0,741,395,1632,11,1451,1111,1164,1805,1080,1634,293,1570,915,908,1709,1595,1423,569,1575,1335,1920,1571,1,4,2,4,5,1,1,4
23-Sep-00,Bradford,Southampton,0,1,A,0,1,A,16163,Steve Dunn,14,6,6,4,7,5,14,18,.data/EPL/2000-01/3346.json,0,423,125,1670,932,1672,328,1667,954,228,1240,1236,1621,958,1623,1748,1455,1747,1749,1246,1005,528,1458,1,5,3,2,5,1,2,3
23-Sep-00,Coventry,West Ham,0,3,A,0,2,A,20120,Neale Barry,9,12,2,10,5,6,12,11,.data/EPL/2000-01/3347.json,0,1869,1690,860,1030,1370,1687,497,154,1206,1358,1688,1451,1111,1080,293,800,395,1632,11,1164,741,1805,1,5,2,3,4,1,2,4
23-Sep-00,Derby,Leeds,1,1,D,0,1,A,26248,Barry Knight,13,16,7,6,7,4,17,15,.data/EPL/2000-01/3348.json,0,1545,1877,1161,1873,109,1426,1392,1393,1546,1698,1553,1270,146,1706,259,1560,669,694,886,1412,1190,1045,1,4,2,4,5,1,2,3
23-Sep-00,Ipswich,Arsenal,1,1,D,0,0,D,22030,Paul Durkin,17,10,6,4,4,7,8,13,.data/EPL/2000-01/3349.json,0,878,1890,1896,757,1894,1898,1899,960,1371,1903,884,1497,1650,19,14,1651,1,1297,1659,1836,1298,991,1,5,2,3,5,1,3,2
23-Sep-00,Liverpool,Sunderland,1,1,D,1,1,D,44713,Mike Riley,11,8,6,3,12,3,14,18,.data/EPL/2000-01/3350.json,0,1570,915,1727,1709,1924,569,1208,1595,1335,1920,908,1757,1260,272,1253,1754,424,304,1751,1445,1768,1972,1,5,2,3,4,1,2,4
23-Sep-00,Man United,Chelsea,3,3,D,3,2,H,67568,Peter Jones,11,13,5,5,8,4,15,19,.data/EPL/2000-01/3351.json,0,1209,1719,407,1210,725,321,336,335,576,315,331,1533,1148,1027,1989,70,1676,1356,1151,1413,1147,1149,1,4,2,4,5,1,3,2
23-Sep-00,Middlesbrough,Aston Villa,1,1,D,0,0,D,27556,Mark Halsey,12,15,5,7,5,5,7,14,.data/EPL/2000-01/3352.json,0,363,359,1075,937,309,349,931,326,1951,1952,1222,72,406,1308,847,338,1083,252,1361,1839,23,153,1,3,2,5,3,1,1,6
23-Sep-00,Newcastle,Charlton,0,1,A,0,1,A,50866,Andy D'Urso,12,4,5,2,4,7,14,10,.data/EPL/2000-01/3353.json,0,851,1960,89,239,1736,1740,1437,1284,1351,1230,1597,1848,111,1517,1520,1528,1855,1851,1168,1515,1516,1522,1,4,3,3,4,1,2,4
23-Sep-00,Tottenham,Man City,0,0,D,0,0,D,36069,Steve Bennett,18,7,5,2,5,4,10,14,.data/EPL/2000-01/3354.json,0,1282,1277,973,1628,776,462,78,1978,587,583,1274,1059,732,1928,767,1927,938,1936,1179,714,1935,27,1,4,3,3,5,1,2,3
24-Sep-00,Leicester,Everton,1,1,D,1,0,H,18084,Alan Wiley,10,9,4,3,9,3,14,13,.data/EPL/2000-01/3355.json,0,684,384,706,734,1014,1201,1199,453,519,670,1196,181,416,1886,720,1558,1586,1884,25,1402,1184,1447,1,3,1,6,4,1,2,4
30-Sep-00,Aston Villa,Derby,4,1,H,2,0,H,27941,David Ellaray,12,11,7,6,6,6,0,1,.data/EPL/2000-01/3356.json,0,72,406,1308,847,338,1083,252,1839,23,153,848,1545,1161,1873,109,1426,1392,1393,1695,1698,1553,1177,1,3,1,6,4,1,2,4
30-Sep-00,Charlton,Coventry,2,2,D,0,1,A,20043,Rob Styles,12,10,8,6,6,6,8,16,.data/EPL/2000-01/3357.json,0,1848,1517,111,1520,1528,1851,1168,1522,1855,1516,1515,1156,1869,1030,1370,1687,1033,497,154,860,1358,1543,1,4,2,4,5,1,2,3
30-Sep-00,Everton,Ipswich,0,3,A,0,1,A,32597,Jeff Winter,7,9,3,7,4,1,6,5,.data/EPL/2000-01/3358.json,0,416,1886,720,1558,25,1447,1586,1884,1702,401,181,878,1890,757,1903,1897,1894,1895,1898,1899,960,1371,1,3,2,5,5,1,2,3
30-Sep-00,Leeds,Tottenham,4,3,H,0,1,A,37562,Neale Barry,14,10,7,5,6,4,11,20,.data/EPL/2000-01/3359.json,0,886,146,1909,1560,259,694,929,1412,1190,1706,1045,1277,973,1282,1628,776,462,78,1978,587,583,1274,1,5,2,3,4,1,3,3
30-Sep-00,Man City,Newcastle,0,1,A,0,0,D,34497,Paul Taylor,9,15,7,9,10,8,16,12,.data/EPL/2000-01/3360.json,0,1059,732,1928,1682,1936,27,1935,767,1179,707,938,851,89,239,87,1590,1351,721,1437,1230,1740,1960,1,4,3,3,4,1,3,3
30-Sep-00,Southampton,Middlesbrough,1,3,A,0,2,A,14903,Graham Poll,16,7,8,5,6,6,6,22,.data/EPL/2000-01/3361.json,0,1621,958,1623,704,1455,1747,1748,1246,528,1458,533,363,309,937,1949,349,931,326,1951,1070,1222,1587,1,5,2,3,4,1,2,4
30-Sep-00,West Ham,Bradford,1,1,D,1,0,H,25407,Mike Dean,14,9,6,6,7,2,14,10,.data/EPL/2000-01/3362.json,0,741,395,1632,11,1451,1111,1164,1805,1080,1634,293,125,1670,932,905,1672,1667,228,1668,1240,954,1236,1,4,2,4,4,1,3,3
01-Oct-00,Arsenal,Man United,1,0,H,1,0,H,38146,Graham Barber,7,13,5,4,3,11,18,17,.data/EPL/2000-01/3363.json,0,3,1497,991,1650,19,14,1651,1,1297,1659,1502,335,1719,407,725,315,1210,321,336,1940,576,331,1,5,3,2,4,1,2,4
01-Oct-00,Chelsea,Liverpool,3,0,H,2,0,H,34966,Dermot Gallagher,11,10,5,2,3,1,14,14,.data/EPL/2000-01/3364.json,0,1350,1533,1866,1151,1148,107,70,1535,1677,1532,1413,1727,908,1709,1595,569,915,1208,1710,1335,1920,1575,1,5,3,2,5,1,2,3
01-Oct-00,Sunderland,Leicester,0,0,D,0,0,D,45338,Steve Lodge,11,8,5,2,6,2,12,8,.data/EPL/2000-01/3365.json,0,272,1253,1445,1972,1757,1260,1754,424,304,1751,1768,453,684,384,706,734,1014,1449,1199,1333,519,1196,1,4,2,4,4,1,2,4
14-Oct-00,Arsenal,Aston Villa,1,0,H,0,0,D,38046,Rob Harris,16,8,10,3,7,4,12,20,.data/EPL/2000-01/3366.json,0,3,991,1831,19,1835,13,1659,1651,1,1132,1297,406,1308,847,338,252,72,848,1839,23,153,909,1,5,2,3,3,1,2,5
14-Oct-00,Coventry,Tottenham,2,1,H,2,0,H,21435,Peter Jones,0,4,5,5,3,5,12,16,.data/EPL/2000-01/3367.json,0,1156,1370,1155,1687,1033,497,154,1359,1543,1869,1688,462,1282,566,973,776,78,1978,1628,587,544,1274,1,4,2,4,4,1,2,4
14-Oct-00,Everton,Southampton,1,1,D,0,0,D,29491,David Ellaray,7,7,3,4,9,8,16,13,.data/EPL/2000-01/3368.json,0,416,1886,720,1558,25,1586,1096,1884,339,1184,1185,1455,1747,1360,1246,1621,958,1623,528,1249,1458,812,1,4,2,4,4,1,2,4
14-Oct-00,Ipswich,West Ham,1,1,D,1,0,H,22243,Neale Barry,11,7,8,2,8,5,10,11,.data/EPL/2000-01/3369.json,0,878,1896,757,1903,1897,1894,1895,1898,1899,960,1371,1164,1451,1111,1080,293,800,741,395,1632,11,1805,1,5,2,3,4,1,2,4
14-Oct-00,Leeds,Charlton,3,1,H,1,0,H,38837,Mike Dean,22,10,10,8,8,5,7,9,.data/EPL/2000-01/3370.json,0,146,259,694,929,1906,1412,1190,1706,1045,1909,1565,1848,1517,1529,111,1520,1851,1168,1522,1855,1516,1515,1,5,2,3,4,1,2,4
14-Oct-00,Leicester,Man United,0,3,A,0,1,A,22132,Paul Durkin,10,16,4,5,6,7,8,11,.data/EPL/2000-01/3371.json,0,684,706,734,670,1199,1333,453,384,519,639,1196,59,1211,1719,407,315,1210,1718,1217,332,1940,576,1,4,1,5,5,1,3,2
14-Oct-00,Man City,Bradford,2,0,H,2,0,H,34229,Barry Knight,13,10,10,2,5,6,10,16,.data/EPL/2000-01/3372.json,0,1059,732,1928,1927,938,1936,27,1935,916,1179,714,954,125,1670,932,228,953,905,1672,1240,187,1236,1,4,2,4,4,1,3,3
14-Oct-00,Sunderland,Chelsea,1,0,H,0,0,D,45078,Jeff Winter,16,11,11,2,5,0,12,18,.data/EPL/2000-01/3373.json,0,1253,1445,1972,304,1757,1260,1754,424,1751,1768,1259,1350,1533,1151,107,70,1677,1532,1866,1413,1148,1535,1,4,2,4,5,1,3,2
15-Oct-00,Derby,Liverpool,0,4,A,0,1,A,30352,Steve Bennett,6,16,0,11,4,3,18,13,.data/EPL/2000-01/3374.json,0,1391,1877,1161,1873,109,1695,1392,1553,1058,1698,1177,915,1727,908,1709,1205,1710,569,1920,238,1208,1573,1,2,1,7,5,1,2,3
16-Oct-00,Middlesbrough,Newcastle,1,3,A,0,1,A,31436,Steve Dunn,8,15,2,8,6,6,8,13,.data/EPL/2000-01/3375.json,0,320,151,937,326,1951,1587,394,1949,349,1222,363,851,89,239,1736,1740,1590,1351,1597,721,1230,1960,1,5,2,3,4,1,2,4
21-Oct-00,Bradford,Ipswich,0,2,A,0,1,A,17045,Paul Taylor,7,12,3,3,9,1,15,14,.data/EPL/2000-01/3376.json,0,125,1670,932,953,905,1672,187,954,228,1240,1236,878,1896,1903,1894,1895,1898,1899,960,1371,1897,757,1,4,3,3,5,1,2,3
